Date,Open,High,Low,Close
2020-08-02,3.7852,3.78675,3.69908,3.74482
2020-08-09,3.75165,3.77954,3.68898,3.74428
2020-08-16,3.74,3.76348,3.70658,3.7153
2020-08-23,3.71678,3.75019,3.6606,3.73943
2020-08-30,3.7385,3.75143,3.68109,3.6878
2020-09-06,3.684,3.79336,3.65609,3.76033
2020-09-13,3.76785,3.79123,3.73282,3.75991
2020-09-20,3.7579,3.79392,3.73004,3.76153
2020-09-27,3.76228,3.92413,3.7515,3.91335
2020-10-04,3.91205,3.93989,3.80518,3.84429
2020-10-11,3.84115,3.8442,3.77365,3.77866
2020-10-18,3.7799,3.90433,3.7712,3.8806
2020-10-25,3.87955,3.90041,3.83775,3.85145
2020-11-01,3.8584,3.97163,3.85024,3.95484
2020-11-08,3.95734,3.97135,3.7864,3.79188
2020-11-15,3.78941,3.82452,3.74734,3.78798
2020-11-22,3.78683,3.79704,3.75562,3.76634
2020-11-29,3.76695,3.79315,3.73965,3.75043
2020-12-06,3.75088,3.75731,3.67091,3.68429
2020-12-13,3.68588,3.71054,3.63862,3.6692
2020-12-20,3.66187,3.68952,3.61702,3.65258
2020-12-27,3.6608,3.72984,3.66015,3.69729
2021-01-03,3.69228,3.76072,3.65655,3.7346
2021-01-10,3.72685,3.72936,3.6522,3.68907
2021-01-17,3.69213,3.76175,3.69213,3.75767
2021-01-24,3.75788,3.77194,3.72017,3.7322
2021-01-31,3.73024,3.77465,3.71861,3.72404
2021-02-07,3.72655,3.76577,3.71523,3.72343
2021-02-14,3.72394,3.73378,3.68283,3.71196
2021-02-21,3.71055,3.74303,3.68543,3.69956
2021-02-28,3.69894,3.74715,3.68075,3.7466
2021-03-07,3.74428,3.8619,3.73015,3.84951
2021-03-14,3.85037,3.88535,3.81356,3.83254
2021-03-21,3.83502,3.89136,3.82699,3.876
2021-03-28,3.8893,3.95001,3.84348,3.93575
2021-04-04,3.93511,3.9831,3.89365,3.8999
2021-04-11,3.91585,3.9234,3.80114,3.80601
2021-04-18,3.80999,3.84404,3.78658,3.79269
2021-04-25,3.79517,3.80673,3.7642,3.76462
2021-05-02,3.76301,3.80757,3.75848,3.79148
2021-05-09,3.79001,3.82144,3.74025,3.7439
2021-05-16,3.74015,3.7746,3.72365,3.72977
2021-05-23,3.7292,3.74215,3.67035,3.6895
2021-05-30,3.68995,3.69706,3.65365,3.67656
2021-06-06,3.67592,3.69481,3.64016,3.66406
2021-06-13,3.66525,3.72185,3.64977,3.71666
2021-06-20,3.71146,3.84508,3.70438,3.83458
2021-06-27,3.83805,3.84225,3.768,3.77966
2021-07-04,3.7834,3.83429,3.77013,3.79961
2021-07-11,3.8051,3.85094,3.78143,3.82683
2021-07-18,3.82745,3.89888,3.82127,3.88322
2021-07-25,3.88075,3.91386,3.85414,3.88704
2021-08-01,3.88715,3.90819,3.82992,3.85285
2021-08-08,3.84825,3.89172,3.81036,3.89101
2021-08-15,3.8902,3.92167,3.86804,3.87043
2021-08-22,3.87053,3.93619,3.86819,3.9164
2021-08-29,3.91265,3.92033,3.87565,3.87903
2021-09-05,3.8784,3.88165,3.78632,3.7926
2021-09-12,3.7945,3.8502,3.79185,3.84652
2021-09-19,3.8467,3.91709,3.8405,3.9131
2021-09-26,3.9127,3.95954,3.9127,3.93098
2021-10-03,3.93147,4.0164,3.92097,3.9467
2021-10-10,3.94604,4.0066,3.92267,3.97995
2021-10-17,3.97924,3.99542,3.92821,3.93671
2021-10-24,3.93237,3.965,3.91915,3.95084
2021-10-31,3.9518,3.99786,3.93538,3.9907
2021-11-07,3.98921,4.01091,3.94455,3.9748
2021-11-14,3.9773,4.06281,3.95331,4.05432
